ID;Identifiant Autolib';Rue;Code postal;Ville;Coordonnées geo;Emplacement;Autolib';Tiers;Abri
75114-28;Paris/Didot/80;80 rue Didot;75014;Paris;48.8287242, 2.3165845;Voirie;4;0;0
75115-11;Paris/Cronstadt/2;2 rue de Cronstadt;75015;Paris;48.83492, 2.302564;Voirie;4;0;0
75115-17;Paris/Etienne Pernet/26;26 Place Etienne Pernet;75015;Paris;48.8425947, 2.2920513;Voirie;4;1;1
75115-28;Paris/Dantzig/37;37 rue de Dantzig;75015;Paris;48.8335103, 2.2987201;Voirie;4;1;0
75115-38;Paris/Mademoiselle/67;67 rue Mademoiselle;75015;Paris;48.8434786, 2.2994811;Voirie;4;1;0
75115-39;Paris/Émile Duclaux/19;19 Rue Émile Duclaux;75015;Paris;48.842111, 2.3091306;Voirie;4;0;0
75115-43;Paris/Pasteur/41;41 Boulevard Pasteur;75015;Paris;48.8426446, 2.3132661;Voirie;4;1;0
75115-46;Paris/Paul Barruel/44;44 rue Paul Barruel;75015;Paris;48.8373656, 2.3059905;Voirie;4;0;0
75115-48;Paris/Balard/18;18 Rue Balard;75015;Paris;48.8445403, 2.2771564;Voirie;4;1;1
75115-59;Paris/Morillons/95;95 rue des Morillons;75015;Paris;48.8319972, 2.3048474;Voirie;4;0;0
75115-PK;Paris/Leblanc/37;37 rue Leblanc;75015;Paris;48.8393383, 2.2756878;Parking;6;0;0
75116-04;Paris/Victor Hugo/18;18 Avenue Victor Hugo;75016;Paris;48.8724415, 2.2915577;Voirie;4;0;0
75116-05;Paris/États-Unis/16;16 place des États-Unis;75016;Paris;48.8684739, 2.2926576;Voirie;4;1;0
75116-14;Paris/Émile Augier/20;20 Boulevard Émile Augier;75016;Paris;48.8602593, 2.2740467;Voirie;4;1;0
75116-18;Paris/Mozart/2;2 Avenue Mozart;75016;Paris;48.85791, 2.273956;Voirie;4;0;0
75116-22;Paris/Georges Mandel/1;1 avenue Georges Mandel;75016;Paris;48.8629938, 2.2857836;Voirie;4;0;0
75117-02;Paris/Porte Pouchet/1;1 Avenue de la Porte Pouchet;75017;Paris;48.8975767, 2.3232481;Voirie;4;1;0
75117-05;Paris/Courcelles/188;188 rue de Courcelles;75017;Paris;48.88556, 2.296562;Voirie;4;0;0
75117-21;Paris/Wagram/77;77 Avenue de Wagram;75017;Paris;48.8799479, 2.2993184;Voirie;4;0;0
75117-30;Paris/Grande Armée/40;40 Avenue de la Grande Armée;75017;Paris;48.876042, 2.288446;Voirie;4;0;0
75117-34;Paris/Raymond Pitet/7;7 rue Raymond Pitet;75017;Paris;48.8901162, 2.2964035;Voirie;4;0;0
75117-35;Paris/Pereire/115;115 Boulevard Pereire;75017;Paris;48.88576, 2.299225;Voirie;4;1;0
75117-40;Paris/Jouffroy d'Abbans/108;108 Rue Jouffroy d'Abbans;75017;Paris;48.8823377, 2.3018911;Voirie;4;0;0
75117-41;Paris/Charles Fillion/22;22 place Charles Fillion;75017;Paris;48.8884456, 2.3160603;Voirie;4;1;0
75117-45;Paris/Koënig/12;12 place du Général Koënig;75017;Paris;48.88112, 2.284095;Voirie;4;1;0
75118-18;Paris/Ordener/65;65 rue Ordener;75018;Paris;48.8913517, 2.3507171;Voirie;4;1;0
75118-22;Paris/Sofia/16;16 Rue Sofia;75018;Paris;48.8850068, 2.3475914;Voirie;4;1;0
75118-27;Paris/Jean-François Lépine/1;1 rue Jean-François Lépine;75018;Paris;48.8861019, 2.3594071;Voirie;4;0;0
75118-38;Paris/Jean Cocteau/2;2 rue Jean Cocteau;75018;Paris;48.8996, 2.351156;Voirie;4;1;0
75119-05;Paris/Émile Reynaud/4;4 rue Émile Reynaud;75019;Paris;48.90176, 2.38589;Voirie;4;1;0
75119-09;Paris/Aubervilliers/38;38 rue d'Aubervilliers;75019;Paris;48.8862071, 2.3665248;Voirie;4;0;0
75119-10;Paris/Algérie/7;7 boulevard d'Algérie;75019;Paris;48.8799263, 2.4004487;Voirie;4;0;0
75119-14;Paris/Manin/159;159 Rue Manin;75019;Paris;48.886098, 2.3936;Voirie;4;1;0
75119-16;Paris/Goubet/8;8 rue Goubet;75019;Paris;48.8848179, 2.3901243;Voirie;4;1;0
75119-33;Paris/René Fonck/2;2 Avenue René Fonck;75019;Paris;48.87869, 2.409082;Voirie;4;1;0
75120-01;Paris/Pyrénées/356;356 rue des Pyrénées;75020;Paris;48.8738701, 2.3864659;Voirie;4;1;0
75120-15;Paris/Bagnolet/142;142 Rue de Bagnolet;75020;Paris;48.8614319, 2.4056437;Voirie;4;1;0
75120-20;Paris/Orteaux/92;92 Rue des Orteaux;75020;Paris;48.8557933, 2.4079711;Voirie;4;0;0
92022-02;Chaville/Anatole France/28;28 Rue Anatole France;92370;Chaville;48.8038815, 2.1883009;Voirie;6;0;0
92023-04;Clamart/Verdun/1;1 rue de Verdun;92140;Clamart;48.813219, 2.258785;Voirie;6;0;0
92025-07;Colombes/Audra/7;7 Avenue Audra;92700;Colombes;48.9278206, 2.2530496;Voirie;6;0;0
92025-09;Colombes/Renouillers/183;183 Rue des Renouillers;92700;Colombes;48.9236342, 2.2368586;Voirie;6;0;0
92025-15;Colombes/Pierre Brosselette/42;42 rue Pierre Brosselette;92700;Colombes;48.9095825, 2.2387774;Voirie;6;0;0
92026-15;Courbevoie/Hérold/6;6 Place Hérold;92400;Courbevoie;48.8963773, 2.256579;Voirie;5;1;1
92032-05;Fontenay-aux-Roses/Marx Dormoy/71;71 rue Marx Dormoy;92260;Fontenay-aux-Roses;48.794247, 2.297986;Voirie;6;0;0
92035-01;La Garenne-Colombes/République/52;52 Boulevard de la République;92250;La Garenne-Colombes;48.90628, 2.249208;Voirie;5;1;1
92040-07;Issy-les-Moulineaux/Gallieni/84;84 boulevard Gallieni;92130;Issy-les-Moulineaux;48.82497, 2.267735;Voirie;6;0;0
92040-13;Issy-les-Moulineaux/Ernest Renan/9;9 rue Ernest Renan;92130;Issy-les-Moulineaux;48.8295855, 2.2836035;Voirie;6;0;0
92040-16;Issy-les-Moulineaux/René Jacques/1;1 Rue René Jacques;92130;Issy-les-Moulineaux;48.8238961, 2.2621859;Voirie;4;1;0
92040-20;Issy-les-Moulineaux/De Gaulle/88;88 avenue du Général de Gaulle;92130;Issy-les-Moulineaux;48.8187533, 2.2778594;Voirie;6;0;0
92046-05;Malakoff/Paul Vaillant Couturier/49;49 Rue Paul Vaillant Couturier;92240;Malakoff;48.8137426, 2.2959516;Voirie;5;0;0
92048-02;Meudon/Paris/6;6 rue de Paris;92190;Meudon;48.8169462, 2.2480148;Voirie;6;0;0
92050-05;Nanterre/Georges Clémenceau/205;205 Avenue Georges Clémenceau;92000;Nanterre;48.886018, 2.215877;Voirie;7;0;0
92050-16;Nanterre/Maréchal Joffre/28;28 Avenue du Maréchal Joffre;92000;Nanterre;48.8855529, 2.1959224;Voirie;5;0;0
92050-19;Nanterre/Pablo Neruda/6;6 Rue Pablo Neruda;92000;Nanterre;48.89586, 2.216845;Voirie;6;0;0
92050-27;Nanterre/Vincent Raspail/5;5 boulevard Vincent Raspail;92000;Nanterre;48.8963559, 2.2076635;Voirie;6;0;0
92050-30;Nanterre/Salvador Allende/123;123 Rue Salvador Allende;92000;Nanterre;48.89406, 2.22547;Voirie;7;0;1
92063-01;Rueil-Malmaison/Édouard Belin/8;8 avenue Édouard Belin;92500;Rueil-Malmaison;48.8876242, 2.1693918;Voirie;4;0;0
92063-02;Rueil-Malmaison/Albert 1er/98;98 avenue Albert 1er;92500;Rueil-Malmaison;48.8855277, 2.1719487;Voirie;6;0;0
92063-06;Rueil-Malmaison/Bois Préau/1;1 avenue de Bois Préau;92500;Rueil-Malmaison;48.87681, 2.173765;Voirie;6;0;0
92063-07;Rueil-Malmaison/Richelieu/3;3 place Richelieu;92500;Rueil-Malmaison;48.87339, 2.182237;Voirie;6;0;0
92063-13;Rueil-Malmaison/Bons Raisins/52;52 Rue des Bons Raisins;92500;Rueil-Malmaison;48.8727271, 2.1947784;Voirie;6;0;0
92063-15;Rueil-Malmaison/De Montbrison/188;188 Rue du Lieutenant-Colonel de Montbrison;92500;Rueil-Malmaison;48.8573584, 2.1933594;Voirie;6;0;0
92063-16;Rueil-Malmaison/Napoléon Bonaparte/26;26 avenue Napoléon Bonaparte;92500;Rueil-Malmaison;48.87586, 2.169697;Voirie;6;0;0
92063-17;Rueil-Malmaison/Henri Sainte-Claire Déville/12;12 rue Henri Sainte-Claire Déville;92500;Rueil-Malmaison;48.8926928, 2.1725973;Voirie;6;0;0
92071-04;Sceaux/Bagneux/52;52 Rue de Bagneux;92330;Sceaux;48.7842765, 2.3027628;Voirie;6;0;0
92072-04;Sèvres/Grande Rue/123;123 Grande Rue;92310;Sèvres;48.821593, 2.2050638;Voirie;6;0;0
92073-10;Suresnes/Stalingrad/11;11 Place Stalingrad;92150;Suresnes;48.86322, 2.201247;Voirie;6;0;0
92075-02;Vanves/Pruvot/7;7 Rue Pruvot;92170;Vanves;48.8222061, 2.283721;Voirie;7;0;0
92075-04;Vanves/Jean Bleuzen/77;77 Rue Jean Bleuzen;92170;Vanves;48.82338, 2.296546;Voirie;6;0;1
92078-01;Villeneuve-la-Garenne/Saint-Exupéry/1;1 allée Saint-Exupéry;92390;Villeneuve-la-Garenne;48.9354388, 2.3261213;Voirie;6;0;0
93006-02;Bagnolet/Pasteur/124;124 avenue Pasteur;93170;Bagnolet;48.87608, 2.418952;Voirie;6;0;0
93006-03;Bagnolet/Sadi Carnot/213;213 Rue Sadi Carnot;93170;Bagnolet;48.8777608, 2.4267206;Voirie;6;0;0
93006-04;Bagnolet/De Gaulle/33;33 avenue du Général de Gaulle;93170;Bagnolet;48.86504, 2.417886;Voirie;6;0;1
93029-01;Drancy/Saint Stenay/29;29 rue Saint Stenay;93700;Drancy;48.91845, 2.418932;Voirie;7;0;0
93029-02;Drancy/Couturier/24;24 boulevard Paul Vaillant Couturier;93700;Drancy;48.9222845, 2.4476628;Voirie;6;0;1
93029-08;Drancy/Jean Jaurès/105;105 Avenue Jean Jaurès;93700;Drancy;48.919047, 2.453108;Voirie;6;0;0
93029-10;Drancy/Auguste Blanqui/22;22 Rue Auguste Blanqui;93700;Drancy;48.9207972, 2.4559699;Voirie;6;0;0
93029-13;Drancy/Nouvelle/7;7 rue Nouvelle;93700;Drancy;48.9241686, 2.4358951;Voirie;5;1;0
93029-14;Drancy/Roger Salengro/3;3 rue Roger Salengro;93700;Drancy;48.9216032, 2.4411713;Voirie;4;0;0
93063-01;Romainville/Marcel Ethis/15;15 Rue Marcel Ethis;93230;Romainville;48.87798, 2.44464;Voirie;6;0;0
93064-02;Rosny-sous-Bois/Jean Jaurès/5;5 avenue Jean Jaurès;93110;Rosny-sous-Bois;48.87052, 2.486372;Voirie;6;0;0
93070-03;Saint-Ouen/Louis Blanc/35;35 Rue Louis Blanc;93400;Saint-Ouen;48.9072038, 2.3314347;Voirie;6;0;0
93070-08;Saint-Ouen/Lafontaine/1;1 rue Lafontaine;93400;Saint-Ouen;48.901404, 2.327399;Voirie;5;0;0
94016-01;Cachan/Camille Desmoulins/3;3 Rue Camille Desmoulins;94230;Cachan;48.7942674, 2.3345857;Voirie;5;0;1
94016-05;Cachan/Carnot/36;36 Avenue Carnot;94230;Cachan;48.7985337, 2.3269032;Voirie;7;0;0
94018-08;Charenton-le-Pont/Nouveau Bercy/2;2 Rue du Nouveau Bercy;94220;Charenton-le-Pont;48.8232903, 2.3967025;Voirie;6;0;0
94028-09;Créteil/De Gaulle/61;61 avenue du Général De Gaulle;94000;Créteil;48.787356, 2.446767;Voirie;6;0;0
94028-13;Créteil/Cotonou/4;4 Rue de Cotonou;94000;Créteil;48.7706043, 2.4707901;Voirie;4;0;0
94044-04;Limeil-Brévannes/Emile Zola/5;5 rue Emile Zola;94450;Limeil-Brévannes;48.7486341, 2.4788056;Voirie;6;0;0
94067-01;Saint-Mandé/Galliéni/178;178 Avenue Galliéni;94160;Saint-Mandé;48.8468108, 2.4175419;Voirie;6;0;1
94076-05;Villejuif/Marcel Paul/6;6 Rue Marcel Paul;94800;Villejuif;48.8003, 2.356283;Voirie;6;0;0
94076-09;Villejuif/Maxime Gorki/144;144 boulevard Maxime Gorki;94800;Villejuif;48.7893752, 2.3685212;Voirie;6;0;0
94076-11;Villejuif/Auguste Perret/11;11 Rue Auguste Perret;94800;Villejuif;48.787963, 2.3512833;Voirie;6;0;0
