"url";"name";"type";"address";"gps"
"http://www.restopolitan.com/en/restaurant/paris-17eme-463/saidoune-301234.html";"Saidoune";"Lebanese";"35, rue Legendre, 75017 ,Paris";"48.8847523/2.3151346"
"http://www.restopolitan.com/en/restaurant/paris-8eme-454/le-zafran-300884.html";"Le Zafran";"Indian";"35, rue St Petersbourg, 75008 ,Paris";NA
"http://www.restopolitan.com/en/restaurant/fosses-1185/creperie-de-l-ysieux-300869.html";"Crêperie de l'Ysieux";"Crêperie";"30, rue Jean Jaurès , 95470 Fosses";"49.1000523/2.5194447"
"http://www.restopolitan.com/en/restaurant/paris-17eme-463/first-avenue-303487.html";"First Avenue";"Bistrot Gourmand";"119, boulevard Pereire, 75017 ,Paris";"48.8855102/2.2988695"
"http://www.restopolitan.com/en/restaurant/paris-18eme-464/l-atelier-jules-303169.html";"L'Atelier Jules";"Brewery";"99, rue Ordener, 75018 ,Paris";"48.8930931/2.3402058"
"http://www.restopolitan.com/en/restaurant/paris-8eme-454/le-patio-des-champs-304262.html";"Le Patio des Champs";"French";"26, avenue des Champs-Elysées, 75008 ,Paris";"48.8698327/2.3086072"
"http://www.restopolitan.com/en/restaurant/paris-17eme-463/le-descazeau-302264.html";"Le Descazeau";"French";"37, rue Nollet, 75017 ,Paris";"48.8892539/2.3174029"
"http://www.restopolitan.com/en/restaurant/paris-17eme-463/secret-square-73720.html";"Secret Square";"Gastronomic";"27, avenue des Ternes, 75017 ,Paris";"48.8778494/2.2977728"
"http://www.restopolitan.com/en/restaurant/paris-15eme-461/bateau-le-capitaine-fracasse-301137.html";"Bateau Le Capitaine Fracasse";"Gastronomic";"Ile au Cygnes, Pont de Bir Hakeim, 75015 ,Paris";NA
"http://www.restopolitan.com/en/restaurant/paris-5eme-451/les-gourmands-de-notre-dame-304458.html";"Les Gourmands de Notre-Dame";"Bistrot Gourmand";"1, rue des Grands Degrés, 75005 ,Paris";"48.8512283/2.3500672"
"http://www.restopolitan.com/en/restaurant/saint-fargeau-ponthierry-688/la-storica-303452.html";"La Storica";"Italian";"62 Avenue de Fontainebleau , 77310 Saint Fargeau Ponthierry";"48.5304235/2.5434002"
"http://www.restopolitan.com/en/restaurant/paris-6eme-452/les-bistronautes-304408.html";"Les Bistronautes";"Bistrot Gourmand";"54, rue d'Assas, 75006 ,Paris";"48.8465193/2.3306903"
"http://www.restopolitan.com/en/restaurant/rueil-malmaison-412/chez-lulu-302571.html";"Chez Lulu";"French";"12, place des Impressionnistes, 92500 Rueil Malmaison";"48.88929065/2.16535014962688"
"http://www.restopolitan.com/en/restaurant/paris-12eme-458/jardin-de-l-himalaya-300255.html";"Jardin de l'Himalaya";"Indian";"206, rue du Faubourg Saint Antoine, 75012 ,Paris";"48.8498166/2.3856949"
"http://www.restopolitan.com/en/restaurant/paris-6eme-452/le-lutin-dans-le-jardin-304276.html";"Le Lutin dans le Jardin";"Bistrot Gourmand";"15, rue Gît-le-Coeur, 75006 ,Paris";"48.8535751/2.3425458"
"http://www.restopolitan.com/en/restaurant/la-norville-146/konfusius-la-norville-300233.html";"Konfusius La Norville";"Thai";"20, allée de la Mare Jacob, 91290 La Norville";"48.578352/2.25647823684211"
"http://www.restopolitan.com/en/restaurant/gennevilliers-387/le-zinc-304349.html";"Le Zinc";"Bistrot Gourmand";"101, avenue Louis Roche, 92230 Gennevilliers";"48.9263187/2.3156731"
"http://www.restopolitan.com/en/restaurant/paris-2eme-448/aux-delices-de-la-lune-301444.html";"Aux Délices de la Lune";"French";"38, rue Poissonnière, 75002 ,Paris";"48.8700101/2.3479332"
"http://www.restopolitan.com/en/restaurant/bry-sur-marne-1307/la-grappille-auberge-du-pont-de-bry-304313.html";"La Grappille - Auberge du Pont de Bry";"French";"3, avenue du Général Leclerc, 94360 Bry Sur Marne";"48.83356/2.5192907"
"http://www.restopolitan.com/en/restaurant/malakoff-388/monte-cristo-301384.html";"Monte Cristo";"Italian";"23, rue de la Tour, 92240 Malakoff";"48.8230901/2.3052997"
"http://www.restopolitan.com/en/restaurant/clichy-375/le-sahan-301314.html";"Le Sahan";"Turkish";"42, boulevard Henri Barbusse, 92110 Clichy";NA
"http://www.restopolitan.com/en/restaurant/paris-10eme-456/le-zinc-du-nord-303642.html";"Le Zinc du Nord";"French";"25, rue de Dunkerque, 75010 ,Paris";"48.8799366/2.3540537"
"http://www.restopolitan.com/en/restaurant/paris-17eme-463/la-terrasse-de-villiers-304314.html";"La Terrasse de Villiers";"French";"140, avenue de Villiers, 75017 ,Paris";"48.8854955/2.2939658"
"http://www.restopolitan.com/en/restaurant/asnieres-sur-seine-413/le-modjo-303891.html";"Le Modjo";"Bistrot Gourmand";"37 bis, avenue de la Marne, 92600 Asnières Sur Seine";"48.9064586/2.2816265"
"http://www.restopolitan.com/en/restaurant/paris-14eme-460/r-yves-marriott-rive-gauche-301696.html";"R'Yves - Marriott Rive Gauche";"French";"17, boulevard Saint-Jacques, 75014 ,Paris";"48.8318916/2.3395499"
"http://www.restopolitan.com/en/restaurant/paris-2eme-448/le-titi-qui-tonne-304198.html";"Le Titi Qui Tonne";"Bistrot Gourmand";"7, rue Tiquetonne, 75002 ,Paris";"48.8643922/2.3495404"
"http://www.restopolitan.com/en/restaurant/paris-7eme-453/tante-marguerite-304381.html";"Tante Marguerite";"Gastronomic";"5, rue de Bourgogne, 75007 ,Paris";"48.8600405/2.3182935"
"http://www.restopolitan.com/en/restaurant/paris-12eme-458/bella-tavola-300667.html";"Bella Tavola";"Mexican";"39, Allée Vivaldi, 75012 ,Paris";"48.8416303/2.389747"
"http://www.restopolitan.com/en/restaurant/champigny-sur-marne-1326/taverna-d-umberto-300870.html";"Taverna d'Umberto";"Italian";"35, avenue Roger Salengro, 94500 Champigny Sur Marne";"48.8197299/2.4859028"
"http://www.restopolitan.com/en/restaurant/paris-15eme-461/les-cedres-du-liban-300315.html";"Les Cèdres du Liban";"Lebanese";"5, avenue du Maine, 75015 ,Paris";"48.8445056/2.3203943"
"http://www.restopolitan.com/en/restaurant/paris-18eme-464/il-gusto-303287.html";"Il Gusto";"Italian";"195, rue Championnet, 75018 ,Paris";"48.89399/2.332191"
