"url";"name";"address";"district";"gps"
"http://www.paris-soiree.fr/discotheque-le_theatre_st_germain__-90";"LE THEATRE ST GERMAIN";"2 rue du Sabot";6;"48.8530169/2.3313456"
"http://www.paris-soiree.fr/discotheque-o_mantra-91";"O Mantra";"7 rue Grégoire de Tours";6;"48.8533605/2.3379377"
"http://www.paris-soiree.fr/discotheque-peniche_la_balle_au_bond-92";"Péniche La Balle au Bond";"Quai Malaquais";6;"48.8578211/2.3354466"
"http://www.paris-soiree.fr/discotheque-next_one-195";"Next One";"15 bis rue Bernard Palissy";6;NA
"http://www.paris-soiree.fr/discotheque-the_highlander_-269";"The Highlander";"8 rue Nevers";6;"48.855998/2.3398373"
"http://www.paris-soiree.fr/discotheque-la_rhumerie_-288";"La Rhumerie";"166 boulevard St Germain";6;"48.853429/2.335553"
"http://www.paris-soiree.fr/discotheque-chez_francoise-94";"Chez Françoise";"Esplanade des Invalides";7;"48.8598983/2.314402"
"http://www.paris-soiree.fr/discotheque-concorde_atlantique-95";"Concorde Atlantique";"Port Solferino - 23, Quai Anatole France";7;NA
"http://www.paris-soiree.fr/discotheque-bar_ephemere-96";"Bar Ephemere";"Port de Suffren";7;"48.85719365/2.28973839087831"
"http://www.paris-soiree.fr/discotheque-maxim_s_sur_seine-97";"Maxim's sur seine";"PORT DE SUFFREN";7;"48.85719365/2.28973839087831"
"http://www.paris-soiree.fr/discotheque-peniche_le_quai-98";"Péniche Le Quai";"5 quai Anatole France";7;"48.8597201/2.3284549"
"http://www.paris-soiree.fr/discotheque-peniche_louisiane_belle-99";"Péniche Louisiane Belle";"Port de Suffren";7;"48.85719365/2.28973839087831"
"http://www.paris-soiree.fr/discotheque-ramses_club-100";"Ramses Club";"10 rue des Saint Pères";7;NA
"http://www.paris-soiree.fr/discotheque-saint_peres-101";"Saint Pères";"10 Rue des Saints-P'e8res";7;NA
"http://www.paris-soiree.fr/discotheque-salons_des_vedettes-189";"Salons des Vedettes";"Port de suffren";7;"48.85719365/2.28973839087831"
"http://www.paris-soiree.fr/discotheque-la_maison_blanche-311";"La Maison Blanche";"15 avenue Montaigne";8;"48.8656628/2.3032832"
"http://www.paris-soiree.fr/discotheque-le_black_calavados-203";"Le Black Calavados";"40 avenue Pierre 1er de Serbie";8;"48.8680029/2.3005538"
"http://www.paris-soiree.fr/discotheque-le_queen-45";"Le Queen";"102 avenue des Champs Elysées";8;"48.8733764/2.2965279"
"http://www.paris-soiree.fr/discotheque-le_matignon-343";"Le Matignon";"3 AVENUE MATIGNON";8;"48.8697396/2.3111625"
"http://www.paris-soiree.fr/discotheque-le_regine_s-49";"Le Régine's";"51 rue de Ponthieu";8;"48.8717566/2.3059317"
"http://www.paris-soiree.fr/discotheque-le_hobo_club-48";"Le Hobo Club";"67 rue Pierre Charron";8;"48.8702181/2.3044733"
"http://www.paris-soiree.fr/discotheque-le_sens-47";"Le Sens";"23 rue de Ponthieu";8;"48.8707419/2.3092677"
"http://www.paris-soiree.fr/discotheque-renoma_cafe_gallery-46";"Renoma Café Gallery";"45 rue Pierre Charon";8;NA
"http://www.paris-soiree.fr/discotheque-le_baron-35";"Le Baron";"6 Avenue Marceau";8;"48.8656372/2.3000834"
"http://www.paris-soiree.fr/discotheque-la_suite-344";"La Suite";"59, rue de Ponthieu";8;"48.8721195/2.3049193"
"http://www.paris-soiree.fr/discotheque-palace_elysee-43";"Palace Elysée";"20 rue Quentin-Bauchart";8;"48.8705072/2.3019336"
"http://www.paris-soiree.fr/discotheque-virgin_mega_store_des_champs_elysees_-50";"Virgin Mega Store des champs-Elysées";"52 avenue des Champs-Elysées";8;"48.8707106/2.3061618"
"http://www.paris-soiree.fr/discotheque-le_no_comment-336";"Le No Comment";"36 rue de Ponthieu";8;"48.8712121/2.3080951"
"http://www.paris-soiree.fr/discotheque-le_mathis_bar-340";"Le Mathis Bar";"3, rue de Ponthieu";8;"48.8700755/2.3113257"
"http://www.paris-soiree.fr/discotheque-chez_papillon-339";"Chez Papillon";"49 rue de Ponthieu";8;"48.8716986/2.3061152"
"http://www.paris-soiree.fr/discotheque-elysee_lounge-349";"ELYSEE LOUNGE";"3, Rue des Saussaies";8;"48.8712174/2.316966"
"http://www.paris-soiree.fr/discotheque-le_raspoutine-338";"Le Raspoutine";"58, rue de Bassano";8;"48.8715085/2.3001649"
"http://www.paris-soiree.fr/discotheque-l_ecluse-294";"L'Ecluse";"64 rue François 1er";8;"48.870049/2.3016717"
"http://www.paris-soiree.fr/discotheque-purple_bar_-291";"Purple Bar";"51 rue Courcelles";8;"48.0961861/2.3172437"
"http://www.paris-soiree.fr/discotheque-the_bowler_-290";"The Bowler";"13 rue Artois";8;NA
"http://www.paris-soiree.fr/discotheque-the_freedom-289";"The Freedom";"8 rue de Berri";8;"48.8722665/2.3040099"
"http://www.paris-soiree.fr/discotheque-neo_club-42";"Neo Club";"23 rue de Ponthieu";8;"48.8707419/2.3092677"
"http://www.paris-soiree.fr/discotheque-mood-41";"Mood";"114 avenue des Champs Elys'e9es";8;NA
"http://www.paris-soiree.fr/discotheque-le_montecristo-40";"Le Montecristo";"68 avenue des Champs Elysées";8;"48.8709106/2.3051658"
"http://www.paris-soiree.fr/discotheque-culture_biere-28";"Culture Bière";"65 avenue des Champs Elysées";8;"48.8705123/2.304204"
"http://www.paris-soiree.fr/discotheque-crystal_lounge-27";"Crystal Lounge";"51 rue de Ponthieu";8;"48.8717566/2.3059317"
"http://www.paris-soiree.fr/discotheque-le_coliseum-26";"Le Coliseum";"59 bis rue de Ponthieu";8;"48.8714127/2.3073081"
"http://www.paris-soiree.fr/discotheque-club_79-25";"Club 79";"22, rue Quentin Bauchard";8;NA
"http://www.paris-soiree.fr/discotheque-cantine_du_faubourg-24";"Cantine du Faubourg";"105 rue du Faubourg Saint-Honoré";8;"48.8724514/2.3114773"
"http://www.paris-soiree.fr/discotheque-le_buddha_bar-23";"Le Buddha Bar";"8 rue Boissy d'Anglas";8;"48.8681/2.3214569"
"http://www.paris-soiree.fr/discotheque-le_carre_washington-22";"Le Carré Washington";"5 rue de Berri";8;"48.8720198/2.3031735"
"http://www.paris-soiree.fr/discotheque-le_madam-9";"Le MadaM";"128 rue la Boétie";8;"48.8709551/2.305982"
"http://www.paris-soiree.fr/discotheque-espace_pierre_cardin-29";"Espace Pierre Cardin";"1 avenue Gabriel";8;"48.8674937/2.3187387"
"http://www.paris-soiree.fr/discotheque-garden_club-30";"Garden Club";"4 rue Arsene Houssaye";8;"48.8735972/2.2981353"
"http://www.paris-soiree.fr/discotheque-le_milliardaire-39";"Le Milliardaire";"68 rue Pierre Charron";8;"48.8699612/2.3044148"
